sample_id,category,risk_level,risk_score
MEDIUM_0137,qos_service_policy,medium,42
HIGH_0253,acl_deny_any_inbound,high,99
HIGH_0250,acl_deny_any_inbound,high,100
HIGH_0284,management_lockout,high,94
MEDIUM_HIGH_0154,remove_vlan,medium-high,78
MEDIUM_0090,static_route_add,medium,49
HIGH_0300,remove_default_route,high,94
MEDIUM_0120,nat_add,medium,51
LOW_0040,interface_description,low,9
MEDIUM_HIGH_0220,permit_any_any,medium-high,71
HIGH_0236,reload,high,96
MEDIUM_HIGH_0190,passive_interface_change,medium-high,70
MEDIUM_0082,ospf_network_add,medium,51
HIGH_0275,write_erase,high,100
MEDIUM_HIGH_0152,trunk_allowed_vlan_change,medium-high,75
LOW_0069,banner_change,low,5
MEDIUM_HIGH_0180,acl_apply_outbound,medium-high,60
MEDIUM_0142,qos_service_policy,medium,54
LOW_0004,add_loopback_not_advertised,low,15
LOW_0018,interface_description,low,7
LOW_0058,interface_description,low,8
MEDIUM_HIGH_0205,vty_access_change,medium-high,76
HIGH_0292,interface_shutdown_critical,high,92
LOW_0042,interface_description,low,8
HIGH_0298,remove_bgp_neighbor,high,97
MEDIUM_HIGH_0169,bgp_neighbor_add,medium-high,71
MEDIUM_0140,bgp_network_add,medium,51
MEDIUM_0110,vlan_add,medium,38
HIGH_0232,remove_bgp_neighbor,high,96
HIGH_0257,remove_default_route,high,90
MEDIUM_0139,interface_ip_change,medium,48
HIGH_0290,reload,high,95
HIGH_0254,remove_interface_ip,high,88
MEDIUM_0080,vlan_add,medium,36
HIGH_0241,remove_ospf_process,high,97
MEDIUM_HIGH_0179,remove_vlan,medium-high,79
LOW_0041,banner_change,low,6
MEDIUM_0117,nat_add,medium,48
HIGH_0255,remove_ospf_process,high,95
MEDIUM_0115,vlan_add,medium,39
MEDIUM_HIGH_0200,vty_access_change,medium-high,78
HIGH_0246,interface_shutdown_critical,high,86
LOW_0022,logging_host,low,13
MEDIUM_HIGH_0188,acl_apply_outbound,medium-high,62
MEDIUM_HIGH_0211,passive_interface_change,medium-high,66
MEDIUM_HIGH_0212,remove_vlan,medium-high,72
MEDIUM_HIGH_0215,acl_apply_outbound,medium-high,64
MEDIUM_0121,nat_add,medium,51
MEDIUM_HIGH_0155,permit_any_any,medium-high,72
MEDIUM_0096,qos_service_policy,medium,48
MEDIUM_HIGH_0173,passive_interface_change,medium-high,60
MEDIUM_0129,bgp_network_add,medium,55
HIGH_0264,remove_bgp_neighbor,high,90
LOW_0057,interface_description,low,8
LOW_0012,add_loopback_not_advertised,low,15
MEDIUM_0148,snmp_community_change,medium,43
MEDIUM_HIGH_0182,permit_any_any,medium-high,68
HIGH_0276,remove_nat_overload,high,85
HIGH_0277,management_lockout,high,95
MEDIUM_0131,static_route_add,medium,44
HIGH_0245,remove_nat_overload,high,92
HIGH_0234,remove_ospf_process,high,98
MEDIUM_0077,static_route_add,medium,47
LOW_0065,logging_host,low,9
LOW_0059,banner_change,low,3
HIGH_0269,remove_ospf_process,high,96
LOW_0039,add_loopback_not_advertised,low,19
LOW_0043,interface_description,low,9
HIGH_0282,remove_nat_overload,high,86
MEDIUM_HIGH_0175,remove_vlan,medium-high,73
LOW_0047,interface_description,low,8
MEDIUM_HIGH_0161,acl_apply_outbound,medium-high,69
MEDIUM_0112,nat_add,medium,50
HIGH_0297,remove_bgp_neighbor,high,98
LOW_0073,ntp_server,low,16
MEDIUM_HIGH_0197,permit_any_any,medium-high,71
MEDIUM_0125,interface_ip_change,medium,50
MEDIUM_0143,nat_add,medium,51
MEDIUM_0105,ospf_network_add,medium,54
LOW_0015,interface_description,low,7
MEDIUM_0088,nat_add,medium,51
HIGH_0263,remove_nat_overload,high,89
MEDIUM_HIGH_0177,vty_access_change,medium-high,77
HIGH_0256,reload,high,98
LOW_0049,logging_host,low,10
LOW_0048,interface_description,low,10
MEDIUM_0079,vlan_add,medium,27
MEDIUM_0093,static_route_add,medium,39
MEDIUM_0106,ospf_network_add,medium,49
LOW_0009,ntp_server,low,19
LOW_0074,ntp_server,low,19
MEDIUM_HIGH_0170,permit_any_any,medium-high,72
HIGH_0273,management_lockout,high,93
LOW_0010,banner_change,low,8
MEDIUM_0138,ospf_network_add,medium,53
HIGH_0293,write_erase,high,100
HIGH_0296,remove_nat_overload,high,86
MEDIUM_HIGH_0214,bgp_neighbor_add,medium-high,66
MEDIUM_HIGH_0223,vty_access_change,medium-high,69
LOW_0055,banner_change,low,4
LOW_0063,logging_host,low,14
MEDIUM_HIGH_0210,trunk_allowed_vlan_change,medium-high,71
MEDIUM_0147,vlan_add,medium,38
MEDIUM_HIGH_0178,bgp_neighbor_add,medium-high,60
LOW_0027,banner_change,low,6
MEDIUM_HIGH_0160,permit_any_any,medium-high,65
LOW_0028,interface_description,low,8
HIGH_0228,acl_deny_any_inbound,high,95
MEDIUM_0101,interface_ip_change,medium,57
LOW_0034,interface_description,low,10
HIGH_0239,remove_ospf_process,high,98
MEDIUM_0135,interface_ip_change,medium,51
LOW_0050,add_loopback_not_advertised,low,18
LOW_0007,interface_description,low,8
HIGH_0229,remove_interface_ip,high,85
MEDIUM_0132,nat_add,medium,49
MEDIUM_0109,qos_service_policy,medium,50
MEDIUM_HIGH_0153,remove_vlan,medium-high,74
HIGH_0294,interface_shutdown_critical,high,85
LOW_0001,ntp_server,low,14
MEDIUM_HIGH_0203,permit_any_any,medium-high,75
HIGH_0267,remove_bgp_neighbor,high,97
HIGH_0230,remove_nat_overload,high,93
LOW_0038,ntp_server,low,19
MEDIUM_0102,bgp_network_add,medium,60
MEDIUM_0113,snmp_community_change,medium,55
MEDIUM_0108,vlan_add,medium,27
MEDIUM_HIGH_0199,acl_apply_outbound,medium-high,71
LOW_0037,interface_description,low,8
MEDIUM_HIGH_0174,trunk_allowed_vlan_change,medium-high,71
HIGH_0237,interface_shutdown_critical,high,87
MEDIUM_0076,static_route_add,medium,49
MEDIUM_0091,qos_service_policy,medium,54
MEDIUM_HIGH_0156,ospf_cost_change,medium-high,68
LOW_0053,interface_description,low,9
HIGH_0260,write_erase,high,100
HIGH_0299,interface_shutdown_critical,high,91
LOW_0062,ntp_server,low,20
HIGH_0287,remove_default_route,high,92
MEDIUM_0124,bgp_network_add,medium,52
HIGH_0244,acl_deny_any_inbound,high,99
MEDIUM_0104,qos_service_policy,medium,47
MEDIUM_0123,bgp_network_add,medium,59
MEDIUM_0111,vlan_add,medium,29
LOW_0029,ntp_server,low,12
LOW_0035,banner_change,low,3
LOW_0023,interface_description,low,6
MEDIUM_0095,vlan_add,medium,36
MEDIUM_HIGH_0184,bgp_neighbor_add,medium-high,67
